date,close,high,low,open,volume
2024-09-04,2493.40,2493.40,2483.50,2490.90,470.00
2024-09-05,2511.40,2513.30,2493.40,2493.70,54.00
2024-09-06,2493.50,2517.90,2483.70,2510.30,96.00
2024-09-09,2501.80,2504.70,2491.30,2491.30,96.00
2024-09-10,2512.30,2512.30,2512.30,2512.30,5.00
2024-09-11,2512.10,2525.80,2502.30,2525.80,90.00
2024-09-12,2551.20,2557.00,2523.40,2529.10,132.00
2024-09-13,2581.30,2581.80,2565.00,2568.80,31.00
2024-09-16,2580.40,2580.40,2580.40,2580.40,28.00
2024-09-17,2564.30,2581.80,2564.30,2581.20,22.00
2024-09-18,2570.70,2570.70,2549.20,2570.70,25.00
2024-09-19,2588.00,2588.00,2566.00,2566.00,99.00
2024-09-20,2619.90,2621.80,2590.40,2590.40,17.00
2024-09-23,2626.50,2626.50,2626.50,2626.50,9.00
2024-09-24,2651.20,2662.30,2625.50,2636.80,35.00
2024-09-25,2659.20,2664.20,2649.30,2656.30,175.00
2024-09-26,2669.90,2669.90,2660.80,2662.30,17216.00
2024-09-27,2644.30,2672.10,2641.70,2670.00,4228.00
2024-09-30,2636.10,2662.10,2623.20,2660.90,973.00
2024-10-01,2667.30,2670.90,2631.40,2631.40,153.00
2024-10-02,2647.10,2657.20,2640.00,2650.60,72.00
2024-10-03,2657.10,2657.10,2640.00,2642.80,354.00
2024-10-04,2645.80,2667.00,2639.00,2656.00,114.00
2024-10-07,2644.80,2657.40,2639.00,2648.70,284.00
2024-10-08,2615.00,2639.00,2609.30,2639.00,687.00
